标题,地块编号,省份,城市,总面积,建设用地面积,规划建筑面积,代征面积,容积率,绿化率,商业比例,建筑密度,限制高度,出让形式,出让年限,位置,四至,规划用途,交易状况,竞得方,起始日期,截止日期,成交日期,交易低点,起始价,成交价,楼面地价,溢价率,土地公告,咨询电话,保证金,最小加价幅度,
蒲江县甘溪镇明月村,地块编号：PJ2016-21(211),四川,成都,4232,4232,1693,暂无,≤0.4,暂无,暂无,≤40,见备注,挂牌,40年,蒲江县甘溪镇明月村,蒲江县甘溪镇明月村,商业服务业设施用地(文化创意、文化旅游),已成交,成都鹿熙文化旅游开发有限公司,2017/1/5,2017/1/19,2017/1/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,133万元,133万元,788元,暂无,蒲江县甘溪镇明月村土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]34hao.docx,028-85987887,30万元,暂无
彭州市工业开发区,地块编号：PZ2016-22,四川,成都,27431,27431,27431,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,彭州市工业开发区,彭州市工业开发区,工业用地,未成交,暂无,2017/1/5,2017/1/19,暂无,彭州市公共资源交易服务中心,642万元,暂无,暂无,暂无,彭州市工业开发区土地公告,http://industrydown.fang.com/tudi/20161219/penggongzituguagao[2016]6hao.docx,暂无,165万元,1
崇州市三郎镇欢喜村,地块编号：CZ2016-09(211),四川,成都,71021,71021,56816,暂无,≤0.8,暂无,暂无,≤35,≤15,挂牌,40年,崇州市三郎镇欢喜村,崇州市三郎镇欢喜村,商业用地,已成交,成都陇海三郎旅游资源开发有限公司,2017/1/4,2017/1/18,2017/1/18,成都市高新区天府大道北段966号天府国际金融中心7号楼,3942万元,3942万元,694元,暂无,崇州市三郎镇欢喜村土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]33hao.docx,028-85987887,800万元,暂无
崇州市三郎镇欢喜村,地块编号：CZ2016-10(211),四川,成都,24988,24988,24988,暂无,≤1,暂无,暂无,≤35,≤15,挂牌,40年,崇州市三郎镇欢喜村,崇州市三郎镇欢喜村,商业用地,已成交,成都陇海三郎旅游资源开发有限公司,2017/1/4,2017/1/18,2017/1/18,成都市高新区天府大道北段966号天府国际金融中心7号楼,1387万元,1387万元,555元,暂无,崇州市三郎镇欢喜村土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]33hao.docx,028-85987887,280万元,暂无
崇州市三郎镇凤鸣村3、4组（重庆路南侧，干五里河西侧）,地块编号：CZ2016-08（211）,四川,成都,7913,7913,11870,暂无,≤1.5,暂无,暂无,≤50,≤20,挂牌,40年,崇州市三郎镇凤鸣村3、4组（重庆路南侧，干五里河西侧）,崇州市三郎镇凤鸣村3、4组（重庆路南侧，干五里河西侧）,商业用地,已成交,成都陇海三郎旅游资源开发有限公司,2017/1/4,2017/1/18,2017/1/18,成都市高新区天府大道北段966号天府国际金融中心7号楼,439万元,439万元,370元,暂无,崇州市三郎镇凤鸣村3、4组（重庆路土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]33hao.docx,028-85987887,100万元,暂无
金堂县白果镇文武宫社区6组、五福大道东侧,地块编号：JT2016-04(211),四川,成都,2667,2667,2667,暂无,≤1,暂无,暂无,结合方案合理性确定,暂无,挂牌,40年,金堂县白果镇文武宫社区6组、五福大道东侧,金堂县白果镇文武宫社区6组、五福大道东侧,批发零售用地,已成交,金堂县赵家加油站,2017/1/4,2017/1/18,2017/1/18,成都市高新区天府大道北段966号天府国际金融中心7号楼,240万元,240万元,900元,暂无,金堂县白果镇文武宫社区6组、五福大土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzituguagao[2016]33hao.docx,028-85987887,60万元,暂无
温江区天府街道青泰社区6、7、8、9组,地块编号：WJ2016-22（221）,四川,成都,61157,61157,61157,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,温江区天府街道青泰社区6、7、8、9组,温江区天府街道青泰社区6、7、8、9组,工业用地,已成交,四川科伦博泰生物医药股份有限公司,2017/1/4,2017/1/16,2017/1/16,成都市温江区锦绣大道南段43号天府智谷C栋3楼,1835万元,1835万元,300元,暂无,温江区天府街道青泰社区6、7、8、土地公告,http://industrydown.fang.com/tudi/20161226/wenguozituguagao[2016]5hao.docx,暂无,920万元,91.7361
温江区金马镇新春社区3、12、13组,地块编号：WJ2016-24（221）,四川,成都,28512,28512,28512,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,温江区金马镇新春社区3、12、13组,温江区金马镇新春社区3、12、13组,工业用地,已成交,四川美珠实业有限公司,2017/1/4,2017/1/16,2017/1/16,成都市温江区锦绣大道南段43号天府智谷C栋3楼,855万元,855万元,300元,暂无,温江区金马镇新春社区3、12、13土地公告,http://industrydown.fang.com/tudi/20161226/wenguozituguagao[2016]5hao.docx,暂无,850万元,42.7673
武侯区簇锦街道顺江村7、9组,地块编号：WH10（211）：2016-047,四川,成都,2690,2690,4304,暂无,≥0.8且≤1.6,暂无,≤50,≤45,层数≤6层；建筑高度≤24,挂牌,40年,武侯区簇锦街道顺江村7、9组,武侯区簇锦街道顺江村7、9组,商业用地（农贸市场）,已成交,成都市鑫恒信投资管理有限公司,2016/12/28,2017/1/12,2017/1/12,成都市高新区天府大道北段966号天府国际金融中心7号楼,1197万元,1722万元,4000元,43.89%,武侯区簇锦街道顺江村7、9组土地公告,http://industrydown.fang.com/tudi/20161207/chenggongzituguagao[2016]32hao.docx,028-85987887,240万元,暂无
青羊区苏坡街道办事处万家湾社区6组、培风社区10组、文家街道红碾社区1、7组,地块编号：QY07(211):2016-051,四川,成都,73935,73935,388001,暂无,≤5.248,暂无,暂无,≤48,≤66.28,挂牌,40年,青羊区苏坡街道办事处万家湾社区6组、培风社区10组、文家街道红碾社区1、7组,青羊区苏坡街道办事处万家湾社区6组、培风社区10组、文家街道红碾社区1、7组,商业用地,已成交,成都市兴城建实业发展有限责任公司,2016/12/28,2017/1/12,2017/1/12,成都市高新区天府大道北段966号天府国际金融中心7号楼,63050万元,63050万元,1625元,暂无,青羊区苏坡街道办事处万家湾社区6组土地公告,http://industrydown.fang.com/tudi/20161207/chenggongzituguagao[2016]32hao.docx,028-85987887,13000万元,暂无
武侯区簇锦街道高碑村12组,地块编号：WH11（211）：2016-048,四川,成都,4640,4640,7424,暂无,≥0.8且≤1.6,暂无,≤50,≤45,层数≤6层；建筑高度≤24,挂牌,40年,武侯区簇锦街道高碑村12组,武侯区簇锦街道高碑村12组,商业用地（农贸市场）,已成交,成都金祥鸿泰实业有限公司,2016/12/28,2017/1/12,2017/1/12,成都市高新区天府大道北段966号天府国际金融中心7号楼,2394万元,3296万元,4440元,37.67%,武侯区簇锦街道高碑村12组土地公告,http://industrydown.fang.com/tudi/20161207/chenggongzituguagao[2016]32hao.docx,028-85987887,480万元,暂无
武侯区簇锦街道高碑村12组、顺江村7、9组,地块编号：WH09（211）：2016-046,四川,成都,3308,3308,7939,暂无,≤2.4,暂无,暂无,≤40,≤24,挂牌,40年,武侯区簇锦街道高碑村12组、顺江村7、9组,武侯区簇锦街道高碑村12组、顺江村7、9组,商业用地,已成交,成都市鑫恒信投资管理有限公司,2016/12/28,2017/1/12,2017/1/12,成都市高新区天府大道北段966号天府国际金融中心7号楼,1516万元,2024万元,2550元,33.51%,武侯区簇锦街道高碑村12组、顺江村土地公告,http://industrydown.fang.com/tudi/20161207/chenggongzituguagao[2016]32hao.docx,028-85987887,310万元,暂无
龙泉驿区龙泉街道龙工北路以北,地块编号：LQ13(252/211):2016-06,四川,成都,105407,105407,316221,暂无,＞2且≤3,暂无,暂无,≤30,暂无,拍卖,住宅70年、商业40年,龙泉驿区龙泉街道龙工北路以北,龙泉驿区龙泉街道龙工北路以北,住宅用地、商业用地,已成交,北大资源集团地产有限公司,2017/1/10,2017/1/10,2017/1/10,成都市高新区天府大道北段966号天府国际金融中心7号楼,104353万元,202381万元,6400元,93.94%,龙泉驿区龙泉街道龙工北路以北土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzitupaigao[2016]44hao.docx,028-85987887,32000万元,暂无
天府新区兴隆街道保水村四、五、六组（成都科学城范围内，梓州大道西侧、科学城北路北侧）,地块编号：TF(05/07):2016-27,四川,成都,54018,54018,129500,暂无,≤2.4,暂无,住宅兼容商业服务业设施用地：≥5且≤49,住宅兼容商业服务业设施用地≤35；商业服务业设施用地≤40,见备注,拍卖,商服用地40年、住宅用地70年,天府新区兴隆街道保水村四、五、六组（成都科学城范围内，梓州大道西侧、科学城北路北侧）,天府新区兴隆街道保水村四、五、六组（成都科学城范围内，梓州大道西侧、科学城北路北侧）,商服用地、住宅用地,已成交,中建材料技术研究成都有限公司，成都华府锦城中建房地产开发有限公司,2017/1/10,2017/1/10,2017/1/10,成都市高新区天府大道北段966号天府国际金融中心7号楼,28765万元,28765万元,2221元,暂无,天府新区兴隆街道保水村四、五、六组土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzitupaigao[2016]44hao.docx,028-85987887,7200万元,暂无
双流区协和街道（原正兴镇）云龙村3、5组，回龙村集体、1组,地块编号：SLG-（05）-2016-032,四川,成都,21224,21224,63672,暂无,≥1.2且≤3,暂无,暂无,≤40,满足航空限高,挂牌,40年,双流区协和街道（原正兴镇）云龙村3、5组，回龙村集体、1组,双流区协和街道（原正兴镇）云龙村3、5组，回龙村集体、1组,商服用地,已成交,成都西南交大研究院有限公司,2016/12/26,2017/1/10,2017/1/10,成都市高新区天府大道北段966号天府国际金融中心7号楼,5412万元,5412万元,850元,暂无,双流区协和街道（原正兴镇）云龙村3土地公告,http://industrydown.fang.com/tudi/20161129/chenggongzituguagao[2016]31hao.docx,028-85987887,2800万元,暂无
彭州市九尺镇,地块编号：PZ2016-11,四川,成都,57874,57874,86811,暂无,≥1且≤1.5,暂无,暂无,≥40,≤24,挂牌,50年,彭州市九尺镇,彭州市九尺镇,工业用地,已成交,成都亿佰家冷链物流有限公司,2016/12/23,2017/1/9,2017/1/9,彭州市公共资源交易服务中心,1563万元,1563万元,180元,暂无,彭州市九尺镇土地公告,http://industrydown.fang.com/tudi/20161207/penggongzituguagao[2016]5hao.docx,暂无,400万元,1
崇州市三郎镇重庆路南侧，黄泥沟北侧,地块编号：CZ2016-07(252),四川,成都,35741,35741,42889,暂无,＞1且≤1.2,暂无,暂无,≤30,≤24,拍卖,70年,崇州市三郎镇重庆路南侧，黄泥沟北侧,崇州市三郎镇重庆路南侧，黄泥沟北侧,住宅用地,已成交,成都陇海三郎旅游资源开发有限公司,2017/1/5,2017/1/5,2017/1/5,成都市高新区天府大道北段966号天府国际金融中心7号楼,1930万元,1930万元,450元,暂无,崇州市三郎镇重庆路南侧，黄泥沟北侧土地公告,http://industrydown.fang.com/tudi/20161219/chenggongzitupaigao[2016]43hao.docx,028-85987887,400万元,暂无
天府新区兴隆街道宝塘村三组，煎茶街道五里村五组（成都科学城范围内，天府大道东侧、环湖路西侧）,地块编号：TF(05/07):2016-37,四川,成都,71965,71965,395800,暂无,≥1且≤5.5,暂无,≥80,≤45,暂无,拍卖,商服用地40年、住宅用地70年,天府新区兴隆街道宝塘村三组，煎茶街道五里村五组（成都科学城范围内，天府大道东侧、环湖路西侧）,天府新区兴隆街道宝塘村三组，煎茶街道五里村五组（成都科学城范围内，天府大道东侧、环湖路西侧）,商服用地、住宅用地,已成交,成都天投地产开发有限公司，成都天府新区投资集团有限公司,2016/12/29,2016/12/29,2016/12/29,成都市高新区天府大道北段966号天府国际金融中心7号楼,29146万元,29146万元,736元,暂无,天府新区兴隆街道宝塘村三组，煎茶街土地公告,http://industrydown.fang.com/tudi/20161212/chenggongzitupaigao[2016]42hao.docx,028-85987887,5900万元,暂无
天府新区新兴街道油坊村九组,地块编号：TF(061):2016-34,四川,成都,53076,40934,122700,12143,出让土地面积≥1且≤3；待整合用地≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,天府新区新兴街道油坊村九组,天府新区新兴街道油坊村九组,工业用地,已成交,成都联东天府实业有限公司,2016/12/15,2016/12/29,2016/12/29,成都市高新区天府大道北段966号天府国际金融中心7号楼,982万元,982万元,80元,暂无,天府新区新兴街道油坊村九组土地公告,http://industrydown.fang.com/tudi/20161121/chenggongzituguagao[2016]30hao.docx,028-85987887,492万元,暂无
新都区石板滩镇马家村6、8、9、11组,地块编号：XGY-1618,四川,成都,11759,11759,35277,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,新都区石板滩镇马家村6、8、9、11组,新都区石板滩镇马家村6、8、9、11组,工业用地,已成交,成都盛丰邦瑞投资有限公司,2016/12/19,2016/12/29,2016/12/29,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,暂无,282万元,80元,暂无,新都区石板滩镇马家村6、8、9、1土地公告,http://industrydown.fang.com/tudi/20161129/xinguotuguagao[2016]11hao.docx,暂无,57万元,暂无
天府新区正兴街道凉风顶村三、四组，兴隆街道宝塘村六组（成都科学城范围内，环湖路北侧、科学城北路南侧）,地块编号：TF(07/05):2016-39,四川,成都,31579,31579,88400,暂无,≥1且≤2.8,暂无,暂无,≤25,暂无,拍卖,住宅用地70年、商服用地40年,天府新区正兴街道凉风顶村三、四组，兴隆街道宝塘村六组（成都科学城范围内，环湖路北侧、科学城北路南侧）,天府新区正兴街道凉风顶村三、四组，兴隆街道宝塘村六组（成都科学城范围内，环湖路北侧、科学城北路南侧）,住宅用地、商服用地,已成交,成都天投地产开发有限公司，成都天府新区投资集团有限公司,2016/12/29,2016/12/29,2016/12/29,成都市高新区天府大道北段966号天府国际金融中心7号楼,12789万元,12789万元,1447元,暂无,天府新区正兴街道凉风顶村三、四组，土地公告,http://industrydown.fang.com/tudi/20161212/chenggongzitupaigao[2016]42hao.docx,028-85987887,2600万元,暂无
彭州市工业开发区,地块编号：PZ2016-19,四川,成都,37354,37354,37354,暂无,≥1,≤20,暂无,≥40,暂无,挂牌,50年,彭州市工业开发区,彭州市工业开发区,工业用地,已成交,成都宇亨工业制造有限公司,2016/12/16,2016/12/29,2016/12/29,彭州市公共资源交易服务中心,1009万元,1009万元,270元,暂无,彭州市工业开发区土地公告,http://industrydown.fang.com/tudi/20161129/penggongzituguagao[2016]4hao.docx,暂无,253万元,1
